base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
InN,Sc,0.111,v2,In,10,4,88.89
InN,Sc,0.111,v2,In,11,4,88.89
InN,Sc,0.111,v2,In,12,4,88.89
InN,Sc,0.111,v2,In,13,4,88.89
InN,Sc,0.111,v2,In,14,4,88.89
InN,Sc,0.111,v2,In,15,4,88.89
InN,Sc,0.111,v2,In,16,4,88.89
InN,Sc,0.111,v2,In,17,4,88.89
InN,Sc,0.111,v2,In,18,4,88.89
InN,Sc,0.111,v2,In,19,4,88.89
InN,Sc,0.111,v2,In,20,4,88.89
InN,Sc,0.111,v2,In,21,4,88.89
InN,Sc,0.111,v2,In,22,4,88.89
InN,Sc,0.111,v2,In,23,4,88.89
InN,Sc,0.111,v2,In,24,4,88.89
InN,Sc,0.111,v2,In,25,4,88.89
InN,Sc,0.111,v2,In,26,4,88.89
InN,Sc,0.111,v2,In,27,4,88.89
InN,Sc,0.111,v2,In,28,4,88.89
InN,Sc,0.111,v2,In,29,4,88.89
InN,Sc,0.111,v2,In,30,4,88.89
InN,Sc,0.111,v2,In,31,4,88.89
InN,Sc,0.111,v2,In,32,4,88.89
InN,Sc,0.111,v2,Sc,33,4,11.11
InN,Sc,0.111,v2,Sc,34,4,11.11
InN,Sc,0.111,v2,Sc,35,4,11.11
InN,Sc,0.111,v2,Sc,36,4,11.11
InN,Sc,0.111,v3,In,1,4,88.89
InN,Sc,0.111,v3,In,2,4,88.89
InN,Sc,0.111,v3,In,3,4,88.89
InN,Sc,0.111,v3,In,4,4,88.89
InN,Sc,0.111,v3,In,5,4,88.89
InN,Sc,0.111,v3,In,6,4,88.89
InN,Sc,0.111,v3,In,7,4,88.89
InN,Sc,0.111,v3,In,8,4,88.89
InN,Sc,0.111,v3,In,9,4,88.89
InN,Sc,0.111,v3,In,10,4,88.89
InN,Sc,0.111,v3,In,11,4,88.89
InN,Sc,0.111,v3,In,12,4,88.89
InN,Sc,0.111,v3,In,13,4,88.89
InN,Sc,0.111,v3,In,14,4,88.89
InN,Sc,0.111,v3,In,15,4,88.89
InN,Sc,0.111,v3,In,16,4,88.89
InN,Sc,0.111,v3,In,17,4,88.89
InN,Sc,0.111,v3,In,18,4,88.89
InN,Sc,0.111,v3,In,19,4,88.89
InN,Sc,0.111,v3,In,20,4,88.89
InN,Sc,0.111,v3,In,21,4,88.89
InN,Sc,0.111,v3,In,22,4,88.89
InN,Sc,0.111,v3,In,23,4,88.89
InN,Sc,0.111,v3,In,24,4,88.89
InN,Sc,0.111,v3,In,25,4,88.89
InN,Sc,0.111,v3,In,26,4,88.89
InN,Sc,0.111,v3,In,27,4,88.89
InN,Sc,0.111,v3,In,28,4,88.89
InN,Sc,0.111,v3,In,29,4,88.89
InN,Sc,0.111,v3,In,30,4,88.89
InN,Sc,0.111,v3,In,31,4,88.89
InN,Sc,0.111,v3,In,32,4,88.89
InN,Sc,0.111,v3,Sc,33,4,11.11
InN,Sc,0.111,v3,Sc,34,4,11.11
InN,Sc,0.111,v3,Sc,35,4,11.11
InN,Sc,0.111,v3,Sc,36,4,11.11
InN,Sc,0.167,v0,In,1,4,83.33
InN,Sc,0.167,v0,In,2,4,83.33
InN,Sc,0.167,v0,In,3,4,83.33
InN,Sc,0.167,v0,In,4,4,83.33
InN,Sc,0.167,v0,In,5,4,83.33
InN,Sc,0.167,v0,In,6,4,83.33
InN,Sc,0.167,v0,In,7,4,83.33
InN,Sc,0.167,v0,In,8,4,83.33
InN,Sc,0.167,v0,In,9,4,83.33
InN,Sc,0.167,v0,In,10,4,83.33
InN,Sc,0.167,v0,In,11,4,83.33
InN,Sc,0.167,v0,In,12,4,83.33
InN,Sc,0.167,v0,In,13,4,83.33
InN,Sc,0.167,v0,In,14,4,83.33
