base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
InN,Y,0.222,v3,In,9,4,77.78
InN,Y,0.222,v3,In,10,4,77.78
InN,Y,0.222,v3,In,11,4,77.78
InN,Y,0.222,v3,In,12,4,77.78
InN,Y,0.222,v3,In,13,4,77.78
InN,Y,0.222,v3,In,14,4,77.78
InN,Y,0.222,v3,In,15,4,77.78
InN,Y,0.222,v3,In,16,4,77.78
InN,Y,0.222,v3,In,17,4,77.78
InN,Y,0.222,v3,In,18,4,77.78
InN,Y,0.222,v3,In,19,4,77.78
InN,Y,0.222,v3,In,20,4,77.78
InN,Y,0.222,v3,In,21,4,77.78
InN,Y,0.222,v3,In,22,4,77.78
InN,Y,0.222,v3,In,23,4,77.78
InN,Y,0.222,v3,In,24,4,77.78
InN,Y,0.222,v3,In,25,4,77.78
InN,Y,0.222,v3,In,26,4,77.78
InN,Y,0.222,v3,In,27,4,77.78
InN,Y,0.222,v3,In,28,4,77.78
InN,Y,0.222,v3,Y,29,4,22.22
InN,Y,0.222,v3,Y,30,4,22.22
InN,Y,0.222,v3,Y,31,4,22.22
InN,Y,0.222,v3,Y,32,4,22.22
InN,Y,0.222,v3,Y,33,4,22.22
InN,Y,0.222,v3,Y,34,4,22.22
InN,Y,0.222,v3,Y,35,4,22.22
InN,Y,0.222,v3,Y,36,4,22.22
InN,Y,0.278,v0,In,1,4,72.22
InN,Y,0.278,v0,In,2,4,72.22
InN,Y,0.278,v0,In,3,4,72.22
InN,Y,0.278,v0,In,4,4,72.22
InN,Y,0.278,v0,In,5,4,72.22
InN,Y,0.278,v0,In,6,4,72.22
InN,Y,0.278,v0,In,7,4,72.22
InN,Y,0.278,v0,In,8,4,72.22
InN,Y,0.278,v0,In,9,4,72.22
InN,Y,0.278,v0,In,10,4,72.22
InN,Y,0.278,v0,In,11,4,72.22
InN,Y,0.278,v0,In,12,4,72.22
InN,Y,0.278,v0,In,13,4,72.22
InN,Y,0.278,v0,In,14,4,72.22
InN,Y,0.278,v0,In,15,4,72.22
InN,Y,0.278,v0,In,16,4,72.22
InN,Y,0.278,v0,In,17,4,72.22
InN,Y,0.278,v0,In,18,4,72.22
InN,Y,0.278,v0,In,19,4,72.22
InN,Y,0.278,v0,In,20,4,72.22
InN,Y,0.278,v0,In,21,4,72.22
InN,Y,0.278,v0,In,22,4,72.22
InN,Y,0.278,v0,In,23,4,72.22
