base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
Sc,Sc,0.222,v1,Sc,2,4,22.22
Sc,Sc,0.222,v1,Sc,3,4,22.22
Sc,Sc,0.222,v1,Sc,4,4,22.22
Sc,Sc,0.222,v1,Sc,5,4,22.22
Sc,Sc,0.222,v1,Sc,6,4,22.22
Sc,Sc,0.222,v1,Sc,7,4,22.22
Sc,Sc,0.222,v1,Sc,8,4,22.22
Sc,Sc,0.222,v1,Al,9,4,77.78
Sc,Sc,0.222,v1,Al,10,4,77.78
Sc,Sc,0.222,v1,Al,11,4,77.78
Sc,Sc,0.222,v1,Al,12,4,77.78
Sc,Sc,0.222,v1,Al,13,4,77.78
Sc,Sc,0.222,v1,Al,14,4,77.78
Sc,Sc,0.222,v1,Al,15,4,77.78
Sc,Sc,0.222,v1,Al,16,4,77.78
Sc,Sc,0.222,v1,Al,17,4,77.78
Sc,Sc,0.222,v1,Al,18,4,77.78
Sc,Sc,0.222,v1,Al,19,4,77.78
Sc,Sc,0.222,v1,Al,20,4,77.78
Sc,Sc,0.222,v1,Al,21,4,77.78
Sc,Sc,0.222,v1,Al,22,4,77.78
Sc,Sc,0.222,v1,Al,23,4,77.78
Sc,Sc,0.222,v1,Al,24,4,77.78
Sc,Sc,0.222,v1,Al,25,4,77.78
Sc,Sc,0.222,v1,Al,26,4,77.78
Sc,Sc,0.222,v1,Al,27,4,77.78
Sc,Sc,0.222,v1,Al,28,4,77.78
Sc,Sc,0.222,v1,Al,29,4,77.78
Sc,Sc,0.222,v1,Al,30,4,77.78
Sc,Sc,0.222,v1,Al,31,4,77.78
Sc,Sc,0.222,v1,Al,32,4,77.78
Sc,Sc,0.222,v1,Al,33,4,77.78
Sc,Sc,0.222,v1,Al,34,4,77.78
Sc,Sc,0.222,v1,Al,35,4,77.78
Sc,Sc,0.222,v1,Al,36,4,77.78
Sc,Sc,0.222,v2,Al,1,4,77.78
Sc,Sc,0.222,v2,Al,2,4,77.78
Sc,Sc,0.222,v2,Al,3,4,77.78
Sc,Sc,0.222,v2,Al,4,4,77.78
Sc,Sc,0.222,v2,Al,5,4,77.78
Sc,Sc,0.222,v2,Al,6,4,77.78
Sc,Sc,0.222,v2,Al,7,4,77.78
Sc,Sc,0.222,v2,Al,8,4,77.78
Sc,Sc,0.222,v2,Al,9,4,77.78
Sc,Sc,0.222,v2,Al,10,4,77.78
Sc,Sc,0.222,v2,Al,11,4,77.78
Sc,Sc,0.222,v2,Al,12,4,77.78
Sc,Sc,0.222,v2,Al,13,4,77.78
Sc,Sc,0.222,v2,Al,14,4,77.78
Sc,Sc,0.222,v2,Al,15,4,77.78
Sc,Sc,0.222,v2,Al,16,4,77.78
Sc,Sc,0.222,v2,Al,17,4,77.78
Sc,Sc,0.222,v2,Al,18,4,77.78
Sc,Sc,0.222,v2,Al,19,4,77.78
Sc,Sc,0.222,v2,Al,20,4,77.78
Sc,Sc,0.222,v2,Al,21,4,77.78
Sc,Sc,0.222,v2,Al,22,4,77.78
Sc,Sc,0.222,v2,Al,23,4,77.78
Sc,Sc,0.222,v2,Al,24,4,77.78
Sc,Sc,0.222,v2,Al,25,4,77.78
Sc,Sc,0.222,v2,Al,26,4,77.78
Sc,Sc,0.222,v2,Al,27,4,77.78
Sc,Sc,0.222,v2,Al,28,4,77.78
Sc,Sc,0.222,v2,Sc,29,4,19.44
Sc,Sc,0.222,v2,Sc,30,4,19.44
Sc,Sc,0.222,v2,Sc,31,4,19.44
Sc,Sc,0.222,v2,Sc,32,4,19.44
Sc,Sc,0.222,v2,Sc,33,4,19.44
Sc,Sc,0.222,v2,Sc,34,4,19.44
Sc,Sc,0.222,v2,Sc,35,5,2.78
Sc,Sc,0.222,v2,Sc,36,4,19.44
Sc,Sc,0.222,v3,Al,1,4,77.78
Sc,Sc,0.222,v3,Al,2,4,77.78
Sc,Sc,0.222,v3,Al,3,4,77.78
Sc,Sc,0.222,v3,Al,4,4,77.78
Sc,Sc,0.222,v3,Al,5,4,77.78
Sc,Sc,0.222,v3,Al,6,4,77.78
Sc,Sc,0.222,v3,Al,7,4,77.78
Sc,Sc,0.222,v3,Al,8,4,77.78
Sc,Sc,0.222,v3,Al,9,4,77.78
Sc,Sc,0.222,v3,Al,10,4,77.78
Sc,Sc,0.222,v3,Al,11,4,77.78
Sc,Sc,0.222,v3,Al,12,4,77.78
Sc,Sc,0.222,v3,Al,13,4,77.78
Sc,Sc,0.222,v3,Al,14,4,77.78
Sc,Sc,0.222,v3,Al,15,4,77.78
Sc,Sc,0.222,v3,Al,16,4,77.78
Sc,Sc,0.222,v3,Al,17,4,77.78
Sc,Sc,0.222,v3,Al,18,4,77.78
Sc,Sc,0.222,v3,Al,19,4,77.78
Sc,Sc,0.222,v3,Al,20,4,77.78
Sc,Sc,0.222,v3,Al,21,4,77.78
Sc,Sc,0.222,v3,Al,22,4,77.78
Sc,Sc,0.222,v3,Al,23,4,77.78
Sc,Sc,0.222,v3,Al,24,4,77.78
Sc,Sc,0.222,v3,Al,25,4,77.78
Sc,Sc,0.222,v3,Al,26,4,77.78
Sc,Sc,0.222,v3,Al,27,4,77.78
Sc,Sc,0.222,v3,Al,28,4,77.78
Sc,Sc,0.222,v3,Sc,29,4,19.44
Sc,Sc,0.222,v3,Sc,30,4,19.44
Sc,Sc,0.222,v3,Sc,31,4,19.44
Sc,Sc,0.222,v3,Sc,32,4,19.44
Sc,Sc,0.222,v3,Sc,33,4,19.44
Sc,Sc,0.222,v3,Sc,34,4,19.44
Sc,Sc,0.222,v3,Sc,35,5,2.78
Sc,Sc,0.222,v3,Sc,36,4,19.44
Sc,Sc,0.333,v0,Al,1,4,66.67
Sc,Sc,0.333,v0,Al,2,4,66.67
Sc,Sc,0.333,v0,Al,3,4,66.67
Sc,Sc,0.333,v0,Al,4,4,66.67
Sc,Sc,0.333,v0,Al,5,4,66.67
Sc,Sc,0.333,v0,Al,6,4,66.67
Sc,Sc,0.333,v0,Al,7,4,66.67
Sc,Sc,0.333,v0,Al,8,4,66.67
Sc,Sc,0.333,v0,Al,9,4,66.67
Sc,Sc,0.333,v0,Al,10,4,66.67
