base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
GaN,B,0.167,v1,B,35,4,16.67
GaN,B,0.167,v1,B,36,4,16.67
GaN,B,0.167,v2,Ga,1,4,83.33
GaN,B,0.167,v2,Ga,2,4,83.33
GaN,B,0.167,v2,Ga,3,4,83.33
GaN,B,0.167,v2,Ga,4,4,83.33
GaN,B,0.167,v2,Ga,5,4,83.33
GaN,B,0.167,v2,Ga,6,4,83.33
GaN,B,0.167,v2,Ga,7,4,83.33
GaN,B,0.167,v2,Ga,8,4,83.33
GaN,B,0.167,v2,Ga,9,4,83.33
GaN,B,0.167,v2,Ga,10,4,83.33
GaN,B,0.167,v2,Ga,11,4,83.33
GaN,B,0.167,v2,Ga,12,4,83.33
GaN,B,0.167,v2,Ga,13,4,83.33
GaN,B,0.167,v2,Ga,14,4,83.33
GaN,B,0.167,v2,Ga,15,4,83.33
GaN,B,0.167,v2,Ga,16,4,83.33
GaN,B,0.167,v2,Ga,17,4,83.33
GaN,B,0.167,v2,Ga,18,4,83.33
GaN,B,0.167,v2,Ga,19,4,83.33
GaN,B,0.167,v2,Ga,20,4,83.33
GaN,B,0.167,v2,Ga,21,4,83.33
GaN,B,0.167,v2,Ga,22,4,83.33
GaN,B,0.167,v2,Ga,23,4,83.33
GaN,B,0.167,v2,Ga,24,4,83.33
GaN,B,0.167,v2,Ga,25,4,83.33
GaN,B,0.167,v2,Ga,26,4,83.33
GaN,B,0.167,v2,Ga,27,4,83.33
GaN,B,0.167,v2,Ga,28,4,83.33
GaN,B,0.167,v2,Ga,29,4,83.33
GaN,B,0.167,v2,Ga,30,4,83.33
GaN,B,0.167,v2,B,31,4,13.89
GaN,B,0.167,v2,B,32,4,13.89
GaN,B,0.167,v2,B,33,4,13.89
GaN,B,0.167,v2,B,34,4,13.89
GaN,B,0.167,v2,B,35,3,2.78
GaN,B,0.167,v2,B,36,4,13.89
GaN,B,0.167,v3,Ga,1,4,83.33
GaN,B,0.167,v3,Ga,2,4,83.33
GaN,B,0.167,v3,Ga,3,4,83.33
GaN,B,0.167,v3,Ga,4,4,83.33
GaN,B,0.167,v3,Ga,5,4,83.33
GaN,B,0.167,v3,Ga,6,4,83.33
GaN,B,0.167,v3,Ga,7,4,83.33
GaN,B,0.167,v3,Ga,8,4,83.33
GaN,B,0.167,v3,Ga,9,4,83.33
GaN,B,0.167,v3,Ga,10,4,83.33
GaN,B,0.167,v3,Ga,11,4,83.33
GaN,B,0.167,v3,Ga,12,4,83.33
GaN,B,0.167,v3,Ga,13,4,83.33
GaN,B,0.167,v3,Ga,14,4,83.33
GaN,B,0.167,v3,Ga,15,4,83.33
GaN,B,0.167,v3,Ga,16,4,83.33
GaN,B,0.167,v3,Ga,17,4,83.33
GaN,B,0.167,v3,Ga,18,4,83.33
GaN,B,0.167,v3,Ga,19,4,83.33
GaN,B,0.167,v3,Ga,20,4,83.33
GaN,B,0.167,v3,Ga,21,4,83.33
GaN,B,0.167,v3,Ga,22,4,83.33
GaN,B,0.167,v3,Ga,23,4,83.33
GaN,B,0.167,v3,Ga,24,4,83.33
GaN,B,0.167,v3,Ga,25,4,83.33
GaN,B,0.167,v3,Ga,26,4,83.33
GaN,B,0.167,v3,Ga,27,4,83.33
GaN,B,0.167,v3,Ga,28,4,83.33
GaN,B,0.167,v3,Ga,29,4,83.33
GaN,B,0.167,v3,Ga,30,4,83.33
GaN,B,0.167,v3,B,31,4,13.89
GaN,B,0.167,v3,B,32,4,13.89
GaN,B,0.167,v3,B,33,3,2.78
GaN,B,0.167,v3,B,34,4,13.89
GaN,B,0.167,v3,B,35,4,13.89
GaN,B,0.167,v3,B,36,4,13.89
GaN,B,0.222,v0,Ga,1,4,77.78
GaN,B,0.222,v0,Ga,2,4,77.78
GaN,B,0.222,v0,Ga,3,4,77.78
GaN,B,0.222,v0,Ga,4,4,77.78
GaN,B,0.222,v0,Ga,5,4,77.78
GaN,B,0.222,v0,Ga,6,4,77.78
GaN,B,0.222,v0,Ga,7,4,77.78
GaN,B,0.222,v0,Ga,8,4,77.78
GaN,B,0.222,v0,Ga,9,4,77.78
GaN,B,0.222,v0,Ga,10,4,77.78
GaN,B,0.222,v0,Ga,11,4,77.78
GaN,B,0.222,v0,Ga,12,4,77.78
GaN,B,0.222,v0,Ga,13,4,77.78
GaN,B,0.222,v0,Ga,14,4,77.78
GaN,B,0.222,v0,Ga,15,4,77.78
GaN,B,0.222,v0,Ga,16,4,77.78
GaN,B,0.222,v0,Ga,17,4,77.78
GaN,B,0.222,v0,Ga,18,4,77.78
GaN,B,0.222,v0,Ga,19,4,77.78
GaN,B,0.222,v0,Ga,20,4,77.78
GaN,B,0.222,v0,Ga,21,4,77.78
GaN,B,0.222,v0,Ga,22,4,77.78
GaN,B,0.222,v0,Ga,23,4,77.78
GaN,B,0.222,v0,Ga,24,4,77.78
GaN,B,0.222,v0,Ga,25,4,77.78
GaN,B,0.222,v0,Ga,26,4,77.78
GaN,B,0.222,v0,Ga,27,4,77.78
GaN,B,0.222,v0,Ga,28,4,77.78
GaN,B,0.222,v0,B,29,4,16.67
GaN,B,0.222,v0,B,30,4,16.67
GaN,B,0.222,v0,B,31,3,5.56
GaN,B,0.222,v0,B,32,4,16.67
GaN,B,0.222,v0,B,33,4,16.67
GaN,B,0.222,v0,B,34,4,16.67
GaN,B,0.222,v0,B,35,4,16.67
GaN,B,0.222,v0,B,36,3,5.56
GaN,B,0.222,v1,Ga,1,4,77.78
GaN,B,0.222,v1,Ga,2,4,77.78
GaN,B,0.222,v1,Ga,3,4,77.78
GaN,B,0.222,v1,Ga,4,4,77.78
GaN,B,0.222,v1,Ga,5,4,77.78
GaN,B,0.222,v1,Ga,6,4,77.78
GaN,B,0.222,v1,Ga,7,4,77.78
GaN,B,0.222,v1,Ga,8,4,77.78
GaN,B,0.222,v1,Ga,9,4,77.78
GaN,B,0.222,v1,Ga,10,4,77.78
GaN,B,0.222,v1,Ga,11,4,77.78
GaN,B,0.222,v1,Ga,12,4,77.78
GaN,B,0.222,v1,Ga,13,4,77.78
GaN,B,0.222,v1,Ga,14,4,77.78
GaN,B,0.222,v1,Ga,15,4,77.78
GaN,B,0.222,v1,Ga,16,4,77.78
GaN,B,0.222,v1,Ga,17,4,77.78
GaN,B,0.222,v1,Ga,18,4,77.78
GaN,B,0.222,v1,Ga,19,4,77.78
GaN,B,0.222,v1,Ga,20,4,77.78
GaN,B,0.222,v1,Ga,21,4,77.78
GaN,B,0.222,v1,Ga,22,4,77.78
GaN,B,0.222,v1,Ga,23,4,77.78
GaN,B,0.222,v1,Ga,24,4,77.78
GaN,B,0.222,v1,Ga,25,4,77.78
GaN,B,0.222,v1,Ga,26,4,77.78
GaN,B,0.222,v1,Ga,27,4,77.78
GaN,B,0.222,v1,Ga,28,4,77.78
GaN,B,0.222,v1,B,29,4,8.33
GaN,B,0.222,v1,B,30,3,13.89
GaN,B,0.222,v1,B,31,3,13.89
GaN,B,0.222,v1,B,32,4,8.33
GaN,B,0.222,v1,B,33,3,13.89
GaN,B,0.222,v1,B,34,3,13.89
GaN,B,0.222,v1,B,35,3,13.89
GaN,B,0.222,v1,B,36,4,8.33
GaN,B,0.222,v2,Ga,1,4,77.78
GaN,B,0.222,v2,Ga,2,4,77.78
GaN,B,0.222,v2,Ga,3,4,77.78
GaN,B,0.222,v2,Ga,4,4,77.78
GaN,B,0.222,v2,Ga,5,4,77.78
GaN,B,0.222,v2,Ga,6,4,77.78
GaN,B,0.222,v2,Ga,7,4,77.78
GaN,B,0.222,v2,Ga,8,4,77.78
GaN,B,0.222,v2,Ga,9,4,77.78
GaN,B,0.222,v2,Ga,10,4,77.78
GaN,B,0.222,v2,Ga,11,4,77.78
GaN,B,0.222,v2,Ga,12,4,77.78
GaN,B,0.222,v2,Ga,13,4,77.78
GaN,B,0.222,v2,Ga,14,4,77.78
GaN,B,0.222,v2,Ga,15,4,77.78
GaN,B,0.222,v2,Ga,16,4,77.78
GaN,B,0.222,v2,Ga,17,4,77.78
GaN,B,0.222,v2,Ga,18,4,77.78
GaN,B,0.222,v2,Ga,19,4,77.78
GaN,B,0.222,v2,Ga,20,4,77.78
GaN,B,0.222,v2,Ga,21,4,77.78
GaN,B,0.222,v2,Ga,22,4,77.78
GaN,B,0.222,v2,Ga,23,4,77.78
GaN,B,0.222,v2,Ga,24,4,77.78
GaN,B,0.222,v2,Ga,25,4,77.78
GaN,B,0.222,v2,Ga,26,4,77.78
GaN,B,0.222,v2,Ga,27,4,77.78
GaN,B,0.222,v2,Ga,28,4,77.78
GaN,B,0.222,v2,B,29,3,8.33
GaN,B,0.222,v2,B,30,4,13.89
GaN,B,0.222,v2,B,31,4,13.89
GaN,B,0.222,v2,B,32,3,8.33
GaN,B,0.222,v2,B,33,3,8.33
GaN,B,0.222,v2,B,34,4,13.89
GaN,B,0.222,v2,B,35,4,13.89
GaN,B,0.222,v2,B,36,4,13.89
GaN,B,0.222,v3,Ga,1,4,77.78
GaN,B,0.222,v3,Ga,2,4,77.78
GaN,B,0.222,v3,Ga,3,4,77.78
GaN,B,0.222,v3,Ga,4,4,77.78
GaN,B,0.222,v3,Ga,5,4,77.78
GaN,B,0.222,v3,Ga,6,4,77.78
GaN,B,0.222,v3,Ga,7,4,77.78
GaN,B,0.222,v3,Ga,8,4,77.78
GaN,B,0.222,v3,Ga,9,4,77.78
GaN,B,0.222,v3,Ga,10,4,77.78
GaN,B,0.222,v3,Ga,11,4,77.78
GaN,B,0.222,v3,Ga,12,4,77.78
GaN,B,0.222,v3,Ga,13,4,77.78
GaN,B,0.222,v3,Ga,14,4,77.78
GaN,B,0.222,v3,Ga,15,4,77.78
GaN,B,0.222,v3,Ga,16,4,77.78
GaN,B,0.222,v3,Ga,17,4,77.78
GaN,B,0.222,v3,Ga,18,4,77.78
GaN,B,0.222,v3,Ga,19,4,77.78
GaN,B,0.222,v3,Ga,20,4,77.78
